Product Name,Original_price,Offer_price,percentage,Brand,assurance,products_link
Raddis 1.0 MS Running Shoes For Men,"5,599",NO,NO,ADIDAS,True,https://www.flipkart.com/adidas-raddis-1-0-ms-running-shoes-men/p/itmfhwpcmgmgfrp6?pid=SHOFHWPBHXGHFFHQ&lid=LSTSHOFHWPBHXGHFFHQCBIXWD&marketplace=FLIPKART&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=c5fc4636-c6e3-4ab6-a05e-ae6cce057406.SHOFHWPBHXGHFFHQ.SEARCH&ssid=v72wrtoh6o0000001568520475782&qH=70363420bf22443f
FALCON SS 19 Running Shoes For Men,"3,479","5,999",42% off,ADIDAS,True,https://www.flipkart.com/adidas-falcon-ss-19-running-shoes-men/p/itmfd3hwqqfcdfhg?pid=SHOFD3G8HD3SHKN6&lid=LSTSHOFD3G8HD3SHKN6SIYWYY&marketplace=FLIPKART&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=83042a7a-ca80-4dc7-91a4-652fccc093dd.SHOFD3G8HD3SHKN6.SEARCH&ssid=v72wrtoh6o0000001568520475782&qH=70363420bf22443f
FASSAR M SS 19 Running Shoes For Men,"2,399","3,999",40% off,ADIDAS,True,https://www.flipkart.com/adidas-fassar-m-ss-19-running-shoes-men/p/itmfd3hrdh74fjdt?pid=SHOFD3HRZXYFSCHM&lid=LSTSHOFD3HRZXYFSCHMGFSROO&marketplace=FLIPKART&srno=s_1_25&otracker=search&otracker1=search&fm=organic&iid=3d0ec941-c7af-4180-88ec-e8b9c0c487de.SHOFD3HRZXYFSCHM.SEARCH&ssid=v72wrtoh6o0000001568520475782&qH=70363420bf22443f
LITE RACER BYD Running Shoes For Men,"3,899","5,999",35% off,ADIDAS,True,https://www.flipkart.com/adidas-lite-racer-byd-running-shoes-men/p/itmf7g8agwg2ejme?pid=SHOF7G8AVMBF9NNZ&lid=LSTSHOF7G8AVMBF9NNZIREWQB&marketplace=FLIPKART&srno=s_1_26&otracker=search&otracker1=search&fm=organic&iid=be3fd5d2-9795-4217-853a-bf804aa946f7.SHOF7G8AVMBF9NNZ.SEARCH&ssid=v72wrtoh6o0000001568520475782&qH=70363420bf22443f
DROGO M SS 19 Running Shoes For Men,"1,899","2,699",29% off,ADIDAS,True,https://www.flipkart.com/adidas-drogo-m-ss-19-running-shoes-men/p/itmfd3hvbfyczzna?pid=SHOFD3HUVPG4G9XD&lid=LSTSHOFD3HUVPG4G9XDN3K0B2&marketplace=FLIPKART&srno=s_1_27&otracker=search&otracker1=search&fm=organic&iid=a290a1ff-52db-4a29-be5d-4c324630eadc.SHOFD3HUVPG4G9XD.SEARCH&ssid=v72wrtoh6o0000001568520475782&qH=70363420bf22443f
ADISPREE 5.0 M SS 19 Running Shoes For Men,"2,279","3,799",40% off,ADIDAS,True,https://www.flipkart.com/adidas-adispree-5-0-m-ss-19-running-shoes-men/p/itmfd3hrgnaxtxpc?pid=SHOFD3HRFD9K3GDA&lid=LSTSHOFD3HRFD9K3GDAXMUYVV&marketplace=FLIPKART&srno=s_1_28&otracker=search&otracker1=search&fm=organic&iid=d3f6f9cf-41a6-4254-a945-a16cfb6cf242.SHOFD3HRFD9K3GDA.SEARCH&ssid=v72wrtoh6o0000001568520475782&qH=70363420bf22443f
Yamo 1.0 M Running Shoe For Men,"2,639","4,799",45% off,ADIDAS,True,https://www.flipkart.com/adidas-yamo-1-0-m-running-shoe-men/p/itmfhwpazwpf5kkg?pid=SHOFHWPAYJQNSASU&lid=LSTSHOFHWPAYJQNSASUQWA3SL&marketplace=FLIPKART&srno=s_1_29&otracker=search&otracker1=search&fm=organic&iid=d22630c4-40f2-4fe2-92c0-bc7be3f5812a.SHOFHWPAYJQNSASU.SEARCH&ssid=v72wrtoh6o0000001568520475782&qH=70363420bf22443f
KIVARO 1 M SS 19 Running Shoes For Men,"2,759","4,599",40% off,ADIDAS,True,https://www.flipkart.com/adidas-kivaro-1-m-ss-19-running-shoes-men/p/itmfd3hr86gyndqf?pid=SHOFD3HRRFEJNMFV&lid=LSTSHOFD3HRRFEJNMFV8RA6X3&marketplace=FLIPKART&srno=s_1_30&otracker=search&otracker1=search&fm=organic&iid=d2e29d92-00ff-47e1-a3d3-730e485bba9d.SHOFD3HRRFEJNMFV.SEARCH&ssid=v72wrtoh6o0000001568520475782&qH=70363420bf22443f
ADISPREE 3 M Running Shoes For Men,"2,199","3,999",45% off,ADIDAS,True,https://www.flipkart.com/adidas-adispree-3-m-running-shoes-men/p/itmf7g8kdaaw9gky?pid=SHOF7G8JATFYFAQC&lid=LSTSHOF7G8JATFYFAQCLEPNEZ&marketplace=FLIPKART&srno=s_1_31&otracker=search&otracker1=search&fm=organic&iid=9c406e50-26ec-456e-ac8a-49baaedd73a9.SHOF7G8JATFYFAQC.SEARCH&ssid=v72wrtoh6o0000001568520475782&qH=70363420bf22443f
SAFIRO M Running Shoe For Men,"1,934","4,299",55% off,ADIDAS,True,https://www.flipkart.com/adidas-safiro-m-running-shoe-men/p/itmf6qzxjk23ymfr?pid=SHOF6QZZ5PVYKHTH&lid=LSTSHOF6QZZ5PVYKHTHZWQMOX&marketplace=FLIPKART&srno=s_1_32&otracker=search&otracker1=search&fm=organic&iid=a95312ab-75dc-4618-8a2a-c688572487dc.SHOF6QZZ5PVYKHTH.SEARCH&ssid=v72wrtoh6o0000001568520475782&qH=70363420bf22443f
HELLION Z M SS 19 Running Shoes For Men,"1,979","3,299",40% off,ADIDAS,True,https://www.flipkart.com/adidas-hellion-z-m-ss-19-running-shoes-men/p/itmfd3hrtc3yswdn?pid=SHOFD3HR8FXZHJSY&lid=LSTSHOFD3HR8FXZHJSYPRVZZF&marketplace=FLIPKART&srno=s_1_33&otracker=search&otracker1=search&fm=organic&iid=13ee482d-d14b-4a68-b4e0-f9cc4d9b503f.SHOFD3HR8FXZHJSY.SEARCH&ssid=v72wrtoh6o0000001568520475782&qH=70363420bf22443f
Men Sneakers For Men,"2,850","4,999",42% off,ADIDAS,True,https://www.flipkart.com/adidas-men-sneakers/p/itmf3xejmebhrcwe?pid=SHOEAYSCTVCD7AEP&lid=LSTSHOEAYSCTVCD7AEPNRY9N7&marketplace=FLIPKART&srno=s_1_34&otracker=search&otracker1=search&fm=organic&iid=12576845-87cf-40c6-85d1-0ccdf0ddf17e.SHOEAYSCTVCD7AEP.SEARCH&ssid=v72wrtoh6o0000001568520475782&qH=70363420bf22443f
LITE RACER CLN SS 19 Running Shoes For Men,"2,529","4,599",45% off,ADIDAS,True,https://www.flipkart.com/adidas-lite-racer-cln-ss-19-running-shoes-men/p/itmfd3hwmspzyctw?pid=SHOFD3HVV9MFEUGG&lid=LSTSHOFD3HVV9MFEUGGQJZUDT&marketplace=FLIPKART&srno=s_1_35&otracker=search&otracker1=search&fm=organic&iid=c1db9497-19b8-42c4-98d7-b403c5d18b8e.SHOFD3HVV9MFEUGG.SEARCH&ssid=v72wrtoh6o0000001568520475782&qH=70363420bf22443f
HELLION Z M Running Shoes For Men,"1,979","3,299",40% off,ADIDAS,True,https://www.flipkart.com/adidas-hellion-z-m-running-shoes-men/p/itmfbzrg7nub67fu?pid=SHOFBZQWZK2USVGH&lid=LSTSHOFBZQWZK2USVGH0MZD3W&marketplace=FLIPKART&srno=s_1_36&otracker=search&otracker1=search&fm=organic&iid=391c0000-9eb4-4b40-9fad-5dc53847f5b5.SHOFBZQWZK2USVGH.SEARCH&ssid=v72wrtoh6o0000001568520475782&qH=70363420bf22443f
ADISPREE 5.0 M SS 19 Running Shoes For Men,"2,279","3,799",40% off,ADIDAS,True,https://www.flipkart.com/adidas-adispree-5-0-m-ss-19-running-shoes-men/p/itmfd3htexmyjmp4?pid=SHOFD3HUWYH8BMZ9&lid=LSTSHOFD3HUWYH8BMZ9NDN0H2&marketplace=FLIPKART&srno=s_1_37&otracker=search&otracker1=search&fm=organic&iid=33f51da6-6bbb-4f6c-b377-fec8899b6a4e.SHOFD3HUWYH8BMZ9.SEARCH&ssid=v72wrtoh6o0000001568520475782&qH=70363420bf22443f
